Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
147898401,390250582,542027112,563779807,616288482,742295367,749730150,751087171,751548681,756296231,756651699,757096237|;1;0,2;0,066666666666667;0,2;0,066666666666667;0,018586874008179;8;8;4;5;5;[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
165554831,172473423,270427461,382209384,384097130,498324124,543300099,545738536,618589528,620925267,626515794,740460519,740618034,742523071,742894028,745546187,746534906,747090194,747689792,751461582,753569621,754584941,755443602,756484463,757480762|;1;0,2;0,076923076923077;0,2;0,076923076923077;0,012666940689087;7;7;3;5;5;[M]tau*split|[L/M]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
182640781,236817141|;1;0,6;0,2;0,6;0,2;0,015657901763916;10;9;7;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
230541365,345132462,739385022|;1;0,2;0,058823529411765;0,2;0,058823529411765;0,017797946929932;9;9;5;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
351314317,385201933,415000020,620432583|;1;0,4;0,125;0,4;0,125;0,017202854156494;10;9;6;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
354039443,357087417,363549934,364528467,366584206,366923538,372978779,373110819,373268674,373413519,373413971,380392616,380527184,380654568,382442048,384757914,385311756,388644366,392812598,397446945,402328919,403006315,406066421,408853759,413665008,417868043,418122119,419236954,422877530,424065923,431797119,433309965,506092586,507679771,510399424,511787661,513031774,513180623,517002080,517045062,518362551,522222222,522734472,523069229,523392191,525589021,526037041,530147896,532084405,533851634,538467021,539000895,541565290,545370610,550611848,564903210,566096602,572625937,572730349,574271413,577196856,578252937,579636429,581740771,582296121,583931536,587383007,588543315,589421537,589962550,590579544,594666837,595687232,597616526,603798757,605279637,607840637,607934151,617049384,619254483,620015297,621039603,621322866,622652886,622856843,624219528,624745314,628078553,628669941,631001113,634487640,634506651,634533656,635382525,637059802,637713651,639881579,640059801,641023492,641306231,643556695,644748889,649887393,650135511,650892393,652270498,652874271,652925445,655536176,657368644,658092528,659231191,659376592,659539868,659618631,660873096,660949435,661231558,663851111,664579051,669202942,669804759,672743704,673143636,673151866,675664904,679235759,682342767,684108661,686581779,687587336,687830906,689341321,690327801,690458151,691031201,691146566,691786330,691832225,693357728,694420679,694808152,695801720,695946177,696057890,697366925,697578650,698077265,698524631,699010040,700362905,702304430,704229584,705847575,706866666,706988783,707693471,707704098,708716045,710109531,718132104,719999163,726808501,729711756,729826369,731792664,743659911,744020867,744096281,744436815,744771526,744812279,745590142,746011641,746123906,746662619,748438405,749747547|;1;0,4;0,25;0,4;0,25;0,014840841293335;5;5;2;5;5;[M]tau*split|[L/M]Accepted|[M]tau*from*tree|[L/M]Completed|[M]tau*join|
354350908,354376900,366698569,366726662,399628501,534493180,584812041,593312167,600432558,622847448,628105478,737323915,738820901,739196611,739220231,739276320,741556827,742383121,742498161,742516187,742748687,742748728,743052684,743163074,743289531,743310191,743395731,743404481,744055890,744073361,744088765,744092373,744165506,744849671,745061554,745380511,745402650,745647199,746049852,746052232,746318085,746582460,746599948,747003445,747011587,747011867,748028911,748341571,748341709,748373500,748531941,748843986,748947671,749162875,749184198,749184744,749184839,749290225,749313527,749375951,749527522,749572004,749614245,749938024,750161066,750161245,750179984,751140095,751457471,751683081,751729551,751772104,752262129,752541471,752643661,752702791,752799402,753140751,753170915,753174310,753202887,753244396,753244555,753244649,753362545,753815551,753815676,753944613,754350709,754539158,754582299,755151337,755193882,755218095,755985697,756265856,756926423,756998975,758257831,758346501,758417452,758685504,758719001,758730027,758763414,758781027,758784721,758784862,758914871,759255125,759255152,759318221|;1;0,2;0,090909090909091;0,2;0,090909090909091;0,014074087142944;6;6;2;5;5;[M]tau*split|[L/M]Accepted|[M]tau*from*tree|[M]tau*from*tree|[L]Accepted|[M]tau*join|
359841262|;1;0,4;0,1;0,4;0,1;0,018203020095825;11;11;8;5;5;[L]Accepted|[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
360072755,757154661|;1;0,2;0,066666666666667;0,2;0,066666666666667;0,016469955444336;8;8;4;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[M]Queued|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
360464815,390722958,404084309,514618724,515461174,524375607,564738994,574623837,575690736,594472343,596251950,613033122,616977258,622783644,637893062,639942581,641083751,641083987,641323677,642766943,644992956,647796802,650123293,656868426,681864502,683298971,686557724,686945977,688515611,693895885,694794065,732357301,742383139|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,014743089675903;7;7;4;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L/M]Completed|[M]tau*join|
363206822,589370341,750717620,757671208|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,014426946640015;7;7;4;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
367921041|;1;0,4;0,1;0,4;0,1;0,021074771881104;12;11;8;5;5;[L]Queued|[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
370436092,422418092,619067777,740681141,747147181,750007716,752828161,758494760|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,018917083740234;7;7;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
372029512,374832944,378744625,404005175,429498598,430880486,439833168,443175071,479002951,489198755,510142147,520127960,520705880,527208576,535439201,539083171,539805130,565905115,566661201,579250167,584776062,596608752,611506787,617084616,622295317,622940906,624450715,642846054,643706642,653254236,657163590,657768145,660393401,660786538,661706786,672807011,678626550,686642441,688509388,689160381,689525975,696839978,698346154,703383433,707623601,713106267,726760342,728461114,731908702,738820974|;1;0,4;0,2;0,4;0,2;0,01800012588501;6;6;3;5;5;[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L/M]Completed|[M]tau*join|
375644051,502769178,743091195|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,013962030410767;8;7;4;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L/M]Queued|[M]tau*join|
378050311|;1;0,6;0,2;0,6;0,2;0,019395112991333;10;9;7;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
380632889,407876996,441507371,522460624,522949376,537169872,542919207,549431982,596331167,625322174,627630611,637713545,640254885,659922661,673224718,695486321,697811404,698216063,704703712,717222893,717275094,730084875,743809811,746118131,746148231,746175541,746245931,748720121,750437951,752141295,753238365,756712218,757671923,757671975,757715045,757715125,757715285,757715705|;1;0,4;0,25;0,4;0,25;0,016490936279297;5;5;2;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[M]tau*join|
399013423,577737791,613364032,619146141,624403918,641530471,675797761,688725917,693595201,702482271,737341073,740681235,744321601,746331441,746341261,757510345,758528371|;1;0,2;0,111111111111111;0,2;0,111111111111111;0,014026165008545;5;5;1;5;5;[M]tau*split|[M]Accepted|[L/M]Queued|[M]tau*from*tree|[M]tau*join|
404736991|;1;0,4;0,1;0,4;0,1;0,059651851654053;12;11;8;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
413205820,578612990,636102195,672506739,688564824|;1;0,6;0,230769230769231;0,6;0,230769230769231;0,016481161117554;9;8;6;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
415822336|;1;0,4;0,111111111111111;0,4;0,111111111111111;0,022478103637695;10;10;7;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Queued|[L]Queued|[L/M]Queued|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
427955007,535418135,547617088,637089310,701429911,728470722|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,023514032363892;9;8;5;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
433910332|;1;0,2;0,047619047619048;0,2;0,047619047619048;0,018677949905396;11;11;7;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
473084325|;1;0,6;0,2;0,6;0,2;0,013262987136841;11;9;7;5;5;[L]Queued|[L]Queued|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
512617571,574222268,641243011|;1;0,4;0,125;0,4;0,125;0,014296054840088;10;9;6;5;5;[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
531872604,607158761,670754761,747372912,757480343,757827277|;1;0,4;0,2;0,4;0,2;0,013661861419678;6;6;3;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[M]tau*join|
538297321,686642543,740315794,752629415,756300970|;1;0,4;0,25;0,4;0,25;0,015740871429443;6;5;2;5;5;[M]tau*split|[L/M]Queued|[M]tau*from*tree|[L/M]Accepted|[M]tau*join|
542940765|;1;0,6;0,2;0,6;0,2;0,017254114151001;10;9;7;5;5;[L]Accepted|[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
545911672,599626401,653314473,660903884,672975080,675685459,694899814,696835891,699661601,716154984,730084841|;1;0,4;0,2;0,4;0,2;0,013867855072022;6;6;3;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[M]Queued|[L/M]Completed|[M]tau*join|
546838031|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,018033981323242;8;8;5;5;5;[L]Queued|[L]Queued|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]Queued|[L/M]Completed|[M]tau*join|
560404489|;1;0,4;0,1;0,4;0,1;0,018877983093262;12;11;8;5;5;[L]Accepted|[L]Queued|[L]Queued|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Queued|[M]tau*join|
572078531,703190797,738520030,738520140,738520280,738520420,738520500,738554050,738554110,740740981,742730173,743877727,744088047,746018291,746018381,746148741,746205481,749184751,749840934,752294699,753301833,754526611,755467807,757113161,757533524,758231571,758989918|;1;0,4;0,2;0,4;0,2;0,016133069992066;6;6;3;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
573830584|;1;0,4;0,090909090909091;0,4;0,090909090909091;0,016695022583008;13;12;9;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
577996886|;1;0,6;0,2;0,6;0,2;0,015787839889526;11;9;7;5;5;[L]Accepted|[L]Queued|[L]Queued|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L/M]Completed|[M]tau*join|
578105842,612515539,616993936,757564651|;1;0,4;0,2;0,4;0,2;0,015666961669922;6;6;3;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Queued|[M]tau*join|
580464971,657063150,738501821,747064611,753055854|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,013499975204468;8;8;5;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
581898739|;1;0,6;0,157894736842105;0,6;0,157894736842105;0,015601873397827;11;11;9;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L]Queued|[L]Queued|[L/M]Queued|[L]Accepted|[L/M]Completed|[L]Accepted|[M]tau*join|
588712865,621393223,696680265|;1;0,6;0,230769230769231;0,6;0,230769230769231;0,014936208724976;10;8;6;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
590574771,595293983,660268091|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,016319036483765;9;8;5;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Completed|[L]Accepted|[M]Queued|[L]Completed|[M]tau*join|
591627183,600663061,690931471,703399394,712856449,715638561,722688743,728641711,742296921|;1;0,6;0,333333333333333;0,6;0,333333333333333;0,01378607749939;7;6;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
599157751|;1;0,6;0,272727272727273;0,6;0,272727272727273;0,014589071273804;9;7;5;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L/M]Completed|[M]tau*join|
602870173|;1;0,4;0,083333333333333;0,4;0,083333333333333;0,020426988601685;13;13;10;5;5;[L]Accepted|[L]Queued|[L]Accepted|[L]Queued|[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[M]tau*from*tree|[L]Queued|[M]tau*join|
604882241,709552565|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,016029119491577;7;7;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[M]tau*from*tree|[L]Queued|[M]tau*join|
